,Title
4,Spider-Man 2
58,Spider-Man 2
418,Spider-Man 3
507,Spider-Man 3
524,Spider-Man 3
527,Spider-Man 3
596,Spider-Man: Friend or Foe
601,Spider-Man 3
695,Spider-Man: Friend or Foe
965,Spider-Man: Web of Shadows
1035,Spider-Man: Web of Shadows
1127,Spider-Man: Web of Shadows
