,Title,Platform
4,Spider-Man 2,Nintendo DS
58,Spider-Man 2,Sony PSP
418,Spider-Man 3,Sony PSP
507,Spider-Man 3,X360
524,Spider-Man 3,Nintendo Wii
527,Spider-Man 3,Nintendo DS
596,Spider-Man: Friend or Foe,X360
601,Spider-Man 3,PlayStation 3
695,Spider-Man: Friend or Foe,Nintendo Wii
965,Spider-Man: Web of Shadows,X360
1035,Spider-Man: Web of Shadows,PlayStation 3
1127,Spider-Man: Web of Shadows,Nintendo DS
